timestamp,k40_rate,rolling_median,reason
2025-12-03 11:48:04.284952+00:00,0.001228,nan,K40 rate 0.0012 < absolute minimum 0.05
2025-12-03 13:20:59.350767+00:00,0.001340,nan,K40 rate 0.0013 < absolute minimum 0.05
2025-12-03 14:23:07.076365+00:00,-0.000497,nan,K40 rate -0.0005 < absolute minimum 0.05
2025-12-03 15:25:15.472877+00:00,0.000161,nan,K40 rate 0.0002 < absolute minimum 0.05
2025-12-03 16:27:22.291842+00:00,-0.000365,nan,K40 rate -0.0004 < absolute minimum 0.05
2025-12-03 17:29:25.614106+00:00,-0.001228,nan,K40 rate -0.0012 < absolute minimum 0.05
2025-12-03 18:31:37.286259+00:00,0.000058,nan,K40 rate 0.0001 < absolute minimum 0.05
2025-12-03 19:33:45.288246+00:00,0.000482,nan,K40 rate 0.0005 < absolute minimum 0.05
2025-12-03 20:35:48.609530+00:00,0.000351,nan,K40 rate 0.0004 < absolute minimum 0.05
2025-12-03 21:37:59.577435+00:00,-0.000482,nan,K40 rate -0.0005 < absolute minimum 0.05
2025-12-03 22:40:07.556814+00:00,0.000936,nan,K40 rate 0.0009 < absolute minimum 0.05
